,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[ KS 규격 및 RH+(확대규격) ] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공칭치수,표준단면치수,,,,,단면적,단위무게,단면2차모멘트,,단면 2차 반경,,단면계수,,소성단면계수,,뒤틀림상수,비틀림상수,,RH+,,,,,,,,,,,,,,,,,,
,,Norminal Size(mm),Sectional Dimension(mm),,,,,Sectional Area(cm2),"Unit
Weight 
(kg/m)","2nd Moment of Inertia
(cm4)",,"Radius of 
Gyration  (cm)",,"Modulus of
Section
(cm³ )",,Plastic Section Modulus(mm3x103),,"Warping
Constant
(cm6,x103)","Torsional
Constant
(cm⁴)",2차,,,,,,,,,,,,,,,,,,,
,,,H,B,t1,t2,r,A,W,Ix,Iy,ix,iy,Sx,Sy,Zx,Zy,A,A,57 ,55 ,,,,,,,,,,,,,,,,,,
,,,458 ,417 ,30 ,50 ,22 ,528.60 , 415.0 ,"187,138 ","60,524 ",18.82 ,10.70 ,"8,170.0 ","2,900.0 ","9,540 ","4,436 ","25,150.00 ","3,930.00 ",,,,,,,,,,,,,,,,,,,,
,,,462 ,419 ,32 ,52 ,22 ,554.50 , 435.0 ,"197,605 ","63,869 ",18.88 ,10.73 ,"8,550.0 ","3,050.0 ","10,031 ","4,665 ","26,790.00 ","4,480.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,472 ,422 ,35 ,57 ,22 ,610.50 , 479.0 ,"223,080 ","71,543 ",19.12 ,10.83 ,"9,450.0 ","3,390.0 ","11,176 ","5,194 ","30,740.00 ","5,900.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,484 ,426 ,39 ,63 ,22 ,680.50 , 534.0 ,"255,787 ","81,377 ",19.39 ,10.94 ,"10,570.0 ","3,820.0 ","12,621 ","5,863 ","35,970.00 ","8,020.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,498 ,432 ,45 ,70 ,22 ,770.10 , 605.0 ,"297,910 ","94,362 ",19.67 ,11.07 ,"11,960.0 ","4,370.0 ","14,457 ","6,725 ","43,080.00 ","11,280.00 ",,,,,,,,,,,,,,,,,,,,
,,410 x 400,376 ,393 ,17 ,28 ,21 ,278.30 , 218.0 ,"72,331 ","28,346 ",16.12 ,10.09 ,"3,850.0 ","1,440.0 ","4,323 ","2,190 ","8,580.00 ",673.12 ,2 ,2 ,,,,,,,,,,,,,,,,,,
,,,380 ,395 ,19 ,30 ,21 ,301.60 , 237.0 ,"78,861 ","30,841 ",16.17 ,10.11 ,"4,150.0 ","1,560.0 ","4,693 ","2,375 ","9,440.00 ",842.56 ,2 ,2 ,,,,,,,,,,,,,,,,,,
,,,386 ,397 ,21 ,33 ,21 ,333.00 , 261.0 ,"88,511 ","34,448 ",16.30 ,10.17 ,"4,590.0 ","1,740.0 ","5,221 ","2,642 ","10,720.00 ","1,120.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,400 ,401 ,25 ,40 ,21 ,404.60 , 318.0 ,"112,107 ","43,041 ",16.65 ,10.31 ,"5,610.0 ","2,150.0 ","6,473 ","3,273 ","13,930.00 ","1,980.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,408 ,403 ,27 ,44 ,21 ,444.80 , 349.0 ,"126,330 ","48,063 ",16.85 ,10.39 ,"6,190.0 ","2,390.0 ","7,204 ","3,638 ","15,900.00 ","2,610.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,416 ,406 ,30 ,48 ,21 ,489.50 , 384.0 ,"141,811 ","53,626 ",17.02 ,10.47 ,"6,820.0 ","2,640.0 ","7,998 ","4,036 ","18,130.00 ","3,420.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
